Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
894,Devon Kennard,ARI,OLB,15,0,0,0,0,0,0,0,0,0,0,0,1,2.2,33.5
894,Mack Wilson Sr.,CLE,OLB,14,0,0,0,0,0,0,0,0,0,0,0,0,2.4,33.5
894,A.J. Bouye,CAR,CB,10,0,0,0,0,0,0,0,0,0,0,1,0,3.4,33.5
894,Jakeem Grant Sr.,CHI,WR,15,0,0,0,33,0,11,132,2,0,0,0,0,2.2,33.5
894,O.J. Howard,TB,TE,17,0,0,0,0,0,14,135,1,0,0,0,0,2,33.5
900,Trey Flowers,DET,LB,7,0,0,0,0,0,0,0,0,1.5,0,1,1,4.8,33.4
900,Jabrill Peppers,NYG,DB,6,0,0,0,0,0,0,0,0,1,0,0,0,5.6,33.4
900,Anthony Schwartz,CLE,WR,14,0,0,0,39,0,10,135,1,0,0,0,0,2.4,33.4
900,Breshad Perriman,TB,WR,6,0,0,0,-3,0,11,167,1,0,0,0,0,5.6,33.4
904,Nevin Lawson,JAX,CB,12,0,0,0,0,0,0,0,0,0,1,0,0,2.8,33
905,C.J. Ham,MIN,FB,17,0,0,0,34,0,17,125,0,0,0,0,0,1.9,32.9
906,James Lynch,MIN,DL,13,0,0,0,0,0,0,0,0,1,0,0,1,2.5,32.8
906,Ogbonnia Okoronkwo,LAR,DL,13,0,0,0,0,0,0,0,0,2,0,2,0,2.5,32.8
906,Terrace Marshall Jr.,CAR,WR,13,0,0,0,0,0,17,138,0,0,0,0,0,2.5,32.8
909,Carl Nassib,LV,OLB,13,0,0,0,0,0,0,0,0,1.5,0,1,0,2.5,32.75
910,Darren Hall,ATL,CB,14,0,0,0,0,0,0,0,0,1,0,0,0,2.3,32.7
910,Alton Robinson,SEA,LB,16,0,0,0,0,0,0,0,0,1,0,1,0,2,32.7
910,Levi Onwuzurike,DET,DL,16,0,0,0,0,0,0,0,0,1,0,0,0,2,32.7
910,Mohamed Sanu,SF,WR,8,0,0,0,0,0,15,177,0,0,0,0,0,4.1,32.7
914,Blake Jarwin,DAL,TE,8,0,0,0,0,0,11,96,2,0,0,0,0,4.1,32.6
915,Vernon Hargreaves III,CIN,CB,12,0,0,0,0,0,0,0,0,0,1,0,0,2.7,32.5
915,Kevin King,GB,CB,10,0,0,0,0,0,0,0,0,0,1,0,0,3.2,32.5
915,Eric Ebron,PIT,TE,8,0,0,0,1,1,12,84,1,0,0,0,0,4.1,32.5
918,Parris Campbell,IND,WR,6,0,0,0,0,0,10,162,1,0,0,0,0,5.4,32.2
919,Talanoa Hufanga,SF,S,15,0,0,0,0,0,0,0,0,0,0,0,0,2.1,32
919,Mike Purcell,DEN,DL,13,0,0,0,0,0,0,0,0,0,0,0,1,2.5,32
919,A.J. Green,CLE,CB,12,0,0,0,0,0,0,0,0,0,1,0,2,2.7,32
922,Nathan Shepherd,NYJ,DL,17,0,0,0,0,0,0,0,0,0,0,0,0,1.9,31.7
923,Dallin Leavitt,LV,S,16,0,0,0,6,0,0,0,0,0,0,0,1,2,31.6
924,Casey Toohill,WAS,DE,16,0,0,0,0,0,0,0,0,1,0,0,0,2,31.5
924,Chris Board,BAL,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,2,31.5
926,Marquis Haynes Sr.,CAR,DE,17,0,0,0,0,0,0,0,0,3,0,0,0,1.8,31.4
927,Efe Obada,BUF,DE,10,0,0,0,0,0,0,0,0,3.5,0,0,0,3.1,31.2
927,James White,NE,RB,3,0,0,0,38,1,12,94,0,0,0,0,0,10.4,31.2
929,Kenny Willekes,MIN,DE,6,0,0,0,0,0,0,0,0,2.5,0,0,0,5.2,31.15
930,Darnay Holmes,NYG,CB,11,0,0,0,0,0,0,0,0,0,1,0,0,2.8,31
931,Jordan Jenkins,HOU,DE,11,0,0,0,0,0,0,0,0,2.5,0,0,0,2.8,30.9
931,Mike Glennon,NYG,QB,6,790,4,10,33,1,0,0,0,0,0,0,0,5.2,30.9
933,KhaDarel Hodge,DET,WR,16,0,0,0,0,0,13,157,0,0,0,0,0,1.9,30.7
934,Benson Mayowa,SEA,DE,15,0,0,0,0,0,0,0,0,1,0,0,0,2,30.5
934,Andre Cisco,JAX,S,17,0,0,0,0,0,0,0,0,0,0,2,0,1.8,30.5
934,Akeem Davis-Gaither,CIN,LB,9,0,0,0,0,0,0,0,0,0,0,1,0,3.4,30.5
934,Justin Strnad,DEN,ILB,16,0,0,0,0,0,0,0,0,0,0,0,0,1.9,30.5
938,Malik Jackson,CLE,DT,16,0,0,0,0,0,0,0,0,0.5,0,0,0,1.9,30.4
939,Del'Shawn Phillips,NYJ,LB,17,0,0,0,0,0,0,0,0,1,0,0,1,1.8,30.3
940,Alex Okafor,KC,DE,17,0,0,0,0,0,0,0,0,1.5,0,1,0,1.8,30.15
941,Taven Bryan,JAX,DT,15,0,0,0,0,0,0,0,0,2,0,0,0,2,30.1
942,David Mayo,WAS,LB,16,0,0,0,0,0,0,0,0,0,0,0,1,1.9,30
942,Michael Dogbe,ARI,DE,16,0,0,0,0,0,0,0,0,1,0,0,1,1.9,30
942,Kris Boyd,MIN,CB,15,0,0,0,0,0,0,0,0,0,0,0,2,2,30
942,Christian Ringo,NO,DT,14,0,0,0,0,0,0,0,0,0,0,1,1,2.1,30
946,Sam Eguavoen,MIA,LB,17,0,0,0,0,0,0,0,0,0.5,0,0,1,1.8,29.95
947,Hassan Ridgeway,PHI,DL,17,0,0,0,0,0,0,0,0,2,0,1,0,1.8,29.9
947,Ty Montgomery,NO,WR,14,0,0,0,44,0,16,95,0,0,0,0,0,2.1,29.9
949,Johnathan Hankins,LV,DT,14,0,0,0,0,0,0,0,0,0,0,0,0,2.1,29.5
949,Dont'e Deayon,LAR,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,3,29.5
951,Tyquan Lewis,IND,DE,8,0,0,0,0,0,0,0,0,2.5,1,0,0,3.7,29.35
952,Josh Uche,NE,LB,12,0,0,0,0,0,0,0,0,3,0,0,1,2.4,29.3
952,Jordan Willis,SF,DL,10,0,0,0,0,0,0,0,0,3,0,1,0,2.9,29.3
954,Andrew Adams,TB,SS,14,0,0,0,0,0,0,0,0,0,1,0,0,2.1,29
954,Ambry Thomas,SF,CB,12,0,0,0,0,0,0,0,0,0,1,0,0,2.4,29
956,Boogie Basham,BUF,DE,8,0,0,0,0,0,0,0,0,2.5,0,0,0,3.6,28.9
956,Nick Williams,DET,DL,17,0,0,0,0,0,0,0,0,0.5,0,0,0,1.7,28.9
956,Justin Hollins,LAR,LB,8,0,0,0,0,0,0,0,0,2,0,1,0,3.6,28.9
956,Kevon Seymour,BAL,CB,9,0,0,0,0,0,0,0,0,1,0,0,0,3.2,28.9
956,Corey Clement,DAL,RB,17,0,0,0,140,0,6,29,1,0,0,0,0,1.7,28.9
961,Case Keenum,CLE,QB,7,462,3,1,22,0,0,0,0,0,0,0,0,4.1,28.68
962,Ihmir Smith-Marsette,MIN,WR,8,0,0,0,0,0,5,116,2,0,0,0,0,3.6,28.6
963,Jaylinn Hawkins,ATL,S,14,0,0,0,0,0,0,0,0,0,2,0,0,2,28.5
963,Monty Rice,TEN,LB,10,0,0,0,0,0,0,0,0,0,0,0,0,2.8,28.5
963,Josh Woods,DET,LB,13,0,0,0,0,0,0,0,0,0,0,0,0,2.2,28.5
966,Amen Ogbongbemiga,LAC,LB,15,0,0,0,0,0,0,0,0,1,0,0,0,1.9,28.4
966,N'Keal Harry,NE,WR,12,0,0,0,0,0,12,184,0,0,0,0,0,2.4,28.4
968,Star Lotulelei,BUF,DT,11,0,0,0,0,0,0,0,0,3,0,0,0,2.6,28.3
968,Adam Butler,MIA,DT,17,0,0,0,0,0,0,0,0,2,0,0,0,1.7,28.3
968,Trey Sermon,SF,RB,9,0,0,0,167,1,3,26,0,0,0,0,0,3.1,28.3
968,Nick Vannett,NO,TE,7,0,0,0,0,0,9,133,1,0,0,0,0,4,28.3
968,Dee Eskridge,SEA,WR,10,0,0,0,59,0,10,64,1,0,0,0,0,2.8,28.3
973,Tremon Smith,HOU,DB,17,0,0,0,7,0,0,0,0,0,0,0,1,1.7,28.2
974,Dyami Brown,WAS,WR,15,0,0,0,-4,0,12,165,0,0,0,0,0,1.9,28.1
975,Tristan Vizcaino,LAC,K,6,0,0,0,0,0,0,0,0,0,0,0,0,4.7,28
975,Chris Claybrooks,JAX,CB,16,0,0,0,0,0,0,0,0,0,0,0,1,1.8,28
